run_id	status	leaderboard	model_name	predictions	per_question_csv	eval_txt	adapter_dir
12	ok	0.4066	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run12_predictions.json	results/experkrj_40_one_shot/run12_per_question.csv	results/experkrj_40_one_shot/run12_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/12/checkpoints/final_checkpoint
7	ok	0.3469	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run7_predictions.json	results/experkrj_40_one_shot/run7_per_question.csv	results/experkrj_40_one_shot/run7_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/7/checkpoints/final_checkpoint
8	ok	0.2438	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run8_predictions.json	results/experkrj_40_one_shot/run8_per_question.csv	results/experkrj_40_one_shot/run8_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/8/checkpoints/final_checkpoint
10	ok	0.1984	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run10_predictions.json	results/experkrj_40_one_shot/run10_per_question.csv	results/experkrj_40_one_shot/run10_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/10/checkpoints/final_checkpoint
3	ok	0.1863	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run3_predictions.json	results/experkrj_40_one_shot/run3_per_question.csv	results/experkrj_40_one_shot/run3_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/3/checkpoints/final_checkpoint
2	ok	0.1795	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run2_predictions.json	results/experkrj_40_one_shot/run2_per_question.csv	results/experkrj_40_one_shot/run2_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/2/checkpoints/final_checkpoint
1	ok	0.1449	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run1_predictions.json	results/experkrj_40_one_shot/run1_per_question.csv	results/experkrj_40_one_shot/run1_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/1/checkpoints/final_checkpoint
14	ok	0.1202	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run14_predictions.json	results/experkrj_40_one_shot/run14_per_question.csv	results/experkrj_40_one_shot/run14_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/14/checkpoints/final_checkpoint
9	ok	0.1039	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run9_predictions.json	results/experkrj_40_one_shot/run9_per_question.csv	results/experkrj_40_one_shot/run9_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/9/checkpoints/final_checkpoint
13	ok	0.0574	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run13_predictions.json	results/experkrj_40_one_shot/run13_per_question.csv	results/experkrj_40_one_shot/run13_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/13/checkpoints/final_checkpoint
6	ok	0.0486	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run6_predictions.json	results/experkrj_40_one_shot/run6_per_question.csv	results/experkrj_40_one_shot/run6_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/6/checkpoints/final_checkpoint
4	ok	0.0457	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run4_predictions.json	results/experkrj_40_one_shot/run4_per_question.csv	results/experkrj_40_one_shot/run4_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/4/checkpoints/final_checkpoint
5	ok	0.0431	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run5_predictions.json	results/experkrj_40_one_shot/run5_per_question.csv	results/experkrj_40_one_shot/run5_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/5/checkpoints/final_checkpoint
11	ok	0.0390	Qwen/Qwen2.5-1.5B-Instruct	results/experkrj_40_one_shot/run11_predictions.json	results/experkrj_40_one_shot/run11_per_question.csv	results/experkrj_40_one_shot/run11_eval.txt	/home/sjrao/rapidfireai/rapidfire_experiments/experkrj_40/runs/11/checkpoints/final_checkpoint
